SEASON,TEAM,GP,PTS,PPG,SNP%,OPP,ATT,YDS,Y/A,LNG,TD,FUM,TGT,REC,CTCH%,YDS,Y/C,LNG,TD
2018,MIN,11,152,13.8,63%,182,133,615,4.6,70,2,2,49,40,82%,305,7.6,27,2
2019,MIN,14,292.4,20.9,59%,313,250,1135,4.5,75,13,4,63,53,84%,519,9.8,31,0
2020,MIN,14,337.8,24.1,62%,366,312,1557,5,70,16,5,54,44,81%,361,8.2,50,1
2021,MIN,13,206.3,15.9,53%,298,249,1159,4.7,66,6,3,49,34,69%,224,6.6,24,0
2022,MIN,17,237.8,14,72%,320,264,1173,4.4,81,8,4,56,39,70%,295,7.6,64,2
2017,JAX,13,230.2,17.7,50%,316,268,1040,3.9,90,9,2,48,36,75%,302,8.4,28,1
2018,JAX,8,120.4,15.1,43%,159,133,439,3.3,25,5,0,26,22,85%,185,8.4,31,1
2019,JAX,15,259.4,17.3,83%,365,265,1152,4.3,81,3,1,100,76,76%,522,6.9,27,0
2020,TB,13,132,10.2,36%,144,97,367,3.8,46,6,0,47,36,77%,233,6.5,20,0
2021,TB,14,255.6,18.3,63%,264,180,812,4.5,47,8,1,84,69,82%,454,6.6,23,2
2022,TB,16,226.1,14.1,57%,272,189,668,3.5,23,3,0,83,73,88%,523,7.2,44,3
2017,KC,16,295.2,18.4,65%,335,272,1327,4.9,69,8,1,63,53,84%,455,8.6,78,3
2018,KC,11,230.2,20.9,64%,216,181,824,4.6,45,7,0,35,26,74%,378,14.5,67,7
2019,CLE,8,101.4,12.7,60%,87,43,179,4.2,16,2,1,44,37,84%,285,7.7,29,1
2020,CLE,16,218.5,13.7,52%,249,198,841,4.2,33,6,2,51,38,75%,304,8,26,5
2021,CLE,8,110,13.8,29%,105,78,386,4.9,33,5,0,27,22,81%,174,7.9,23,0
2022,CLE,17,126.8,7.5,42%,167,123,468,3.8,24,3,1,44,35,80%,210,6,24,1
