SEASON,TEAM,GP,PTS,PPG,SNP%,OPP,ATT,YDS,Y/A,LNG,TD,FUM,TGT,REC,CTCH%,YDS,Y/C,LNG,TD
2021,PHI,16,123.4,7.7,27%,118,68,291,4.3,18,5,2,50,33,66%,253,7.7,19,1
2022,PHI,17,87.9,5.2,28%,82,53,240,4.5,13,4,0,29,23,79%,169,7.3,20,0
2019,MIA,7,31.4,4.5,12%,48,36,133,3.7,27,1,0,12,7,58%,51,7.3,20,0
2020,MIA,10,164.2,16.4,56%,189,142,584,4.1,26,3,2,47,41,87%,388,9.5,59,2
2021,MIA,17,173.6,10.2,50%,236,173,612,3.5,30,3,2,63,49,78%,234,4.8,24,4
2022,MIA,4,9.4,2.4,4%,16,10,26,2.6,10,0,0,6,4,67%,28,7,16,0
2020,WAS,14,202.2,14.4,37%,214,170,795,4.7,40,11,2,44,36,82%,247,6.9,40,0
2021,WAS,16,229.1,14.3,54%,310,258,1037,4,27,7,6,52,42,81%,294,7,73,3
2022,WAS,15,165.9,11.1,44%,207,149,546,3.7,20,3,2,58,46,79%,353,7.7,26,2
2022,GB,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,LAC,14,108.3,7.7,39%,221,184,641,3.5,27,0,6,37,33,89%,192,5.8,18,0
2016,LAC,13,250.6,19.3,62%,311,254,997,3.9,48,10,2,57,41,72%,419,10.2,35,2
2017,LAC,16,288.1,18,70%,367,284,1105,3.9,87,8,1,83,58,70%,476,8.2,49,4
2018,LAC,12,275.5,23,55%,241,175,885,5.1,34,10,1,66,50,76%,490,9.8,66,4
2019,LAC,12,180.8,15.1,50%,217,162,612,3.8,24,8,4,55,42,76%,296,7,25,1
2020,DEN,15,198.4,13.2,58%,259,215,986,4.6,65,9,4,44,32,73%,158,4.9,20,1
2021,DEN,16,195.1,12.2,48%,241,203,918,4.5,70,8,3,38,28,74%,213,7.6,30,2
2022,DEN,10,87.1,8.7,42%,122,90,318,3.5,17,2,5,32,25,78%,223,8.9,24,0
2021,KC,11,56.1,5.1,14%,60,51,256,5,51,2,0,9,8,89%,105,13.1,50,0
2022,NYJ,7,115.1,16.4,49%,111,80,463,5.8,62,4,1,31,19,61%,218,11.5,79,1
2019,NE,3,1.2,0.4,1%,4,4,12,3,13,0,0,0,0,0%,0,0,0,0
2020,NE,10,91.3,9.1,34%,144,137,691,5,41,2,1,7,5,71%,52,10.4,15,0
2021,NE,15,210.1,14,37%,223,202,929,4.6,64,15,2,21,18,86%,132,7.3,21,0
2022,NE,13,90.9,7,23%,129,106,462,4.4,30,3,0,23,17,74%,97,5.7,15,0
2022,NE,5,11.2,2.2,7%,18,18,52,2.9,14,1,0,0,0,0%,0,NaN,0,0
2021,PIT,17,300.7,17.7,84%,401,307,1200,3.9,37,7,0,94,74,79%,467,6.3,25,3
2022,PIT,17,223.5,13.1,66%,325,272,1034,3.8,36,7,3,53,41,77%,229,5.6,19,3
2022,TEN,15,26,1.7,15%,37,25,93,3.7,12,0,0,12,11,92%,57,5.2,10,0
2020,SF,8,31.1,3.9,18%,47,39,148,3.8,20,1,1,8,7,88%,33,4.7,16,0
2021,SF,11,49.5,4.5,17%,45,16,68,4.2,21,1,2,29,23,79%,157,6.8,23,0
2022,JAX,17,70,4.1,20%,72,46,194,4.2,61,2,0,26,20,77%,126,6.3,28,1
2016,TEN,15,105.7,7,25%,125,110,490,4.5,22,5,0,15,13,87%,137,10.5,29,0
2017,TEN,16,135,8.4,40%,193,176,744,4.2,75,5,1,17,11,65%,136,12.4,66,1
2018,TEN,16,201.4,12.6,41%,233,215,1059,4.9,99,12,1,18,15,83%,99,6.6,21,0
2019,TEN,15,294.6,19.6,59%,327,303,1540,5.1,74,16,5,24,18,75%,206,11.4,75,2
2020,TEN,16,333.1,20.8,66%,409,378,2027,5.4,94,17,3,31,19,61%,114,6,53,0
2021,TEN,8,193.3,24.2,71%,239,219,937,4.3,76,10,1,20,18,90%,154,8.6,16,0
2022,TEN,16,302.8,18.9,63%,390,349,1538,4.4,56,13,6,41,33,80%,398,12.1,69,0
2021,CHI,17,78.9,4.6,28%,119,103,433,4.2,29,2,1,16,14,88%,96,6.9,20,0
2022,CHI,13,117.8,9.1,38%,141,129,731,5.7,64,4,0,12,9,75%,57,6.3,25,1
2019,BAL,16,49.5,3.1,17%,73,58,225,3.9,18,2,0,15,8,53%,70,8.8,14,0
2020,BAL,12,13,1.1,7%,17,12,60,5,19,0,0,5,5,100%,20,4,8,0
2022,BAL,15,42,2.8,24%,61,49,262,5.3,34,0,2,12,12,100%,58,4.8,15,0
2018,IND,16,160.9,10.1,44%,166,85,314,3.7,18,2,1,81,63,78%,425,6.7,28,2
2019,IND,16,105.9,6.6,31%,110,52,199,3.8,18,2,1,58,44,76%,320,7.3,21,0
2020,IND,16,193.2,12.1,36%,165,89,380,4.3,31,3,0,76,63,83%,482,7.7,29,4
2021,IND,17,112.6,6.6,32%,113,56,276,4.9,34,2,3,57,40,70%,310,7.8,36,1
2022,BUF,16,69.4,4.3,18%,61,24,33,1.4,9,1,2,37,30,81%,241,8,22,1
2019,SEA,16,28,1.8,7%,31,18,114,6.3,29,0,0,13,11,85%,56,5.1,11,0
2020,SEA,9,32.8,3.6,16%,35,25,88,3.5,12,0,0,10,9,90%,90,10,50,1
2021,SEA,14,55.8,4,18%,41,21,177,8.4,73,1,0,20,16,80%,161,10.1,31,0
2022,SEA,10,43.1,4.3,22%,37,19,74,3.9,16,0,1,18,16,89%,157,9.8,27,1
2021,CAR,17,137.6,8.1,40%,209,172,612,3.6,26,5,1,37,25,68%,174,7,33,1
2022,CAR,15,87.7,5.8,27%,112,95,466,4.9,35,2,4,17,14,82%,171,12.2,45,0
2022,ARI,12,18.1,1.5,9%,32,27,60,2.2,13,1,0,5,4,80%,21,5.3,24,0
2021,IND,8,9.1,1.1,3%,13,13,31,2.4,10,1,0,0,0,0%,0,0,0,0
2022,IND,16,84.5,5.3,22%,102,68,236,3.5,17,1,1,34,30,88%,209,7,27,1
2021,DET,7,25.7,3.7,3%,20,15,74,4.9,28,2,0,5,4,80%,23,5.8,11,0
2022,DET,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,CLE,16,15.2,0.9,4%,11,4,21,5.2,13,0,0,7,6,86%,71,11.8,27,0
2020,CLE,16,21,1.3,8%,37,33,166,5,28,0,1,4,3,75%,14,4.7,5,0
2021,CLE,17,104.1,6.1,30%,125,100,534,5.3,30,3,1,25,19,76%,137,7.2,18,0
2022,CLE,15,5.4,0.4,3%,7,4,17,4.2,7,0,0,3,3,100%,7,2.3,7,0
2017,GB,12,80,6.7,23%,99,81,448,5.5,46,4,0,18,9,50%,22,2.4,9,0
2018,GB,12,171.4,14.3,48%,168,133,728,5.5,67,8,1,35,26,74%,206,7.9,24,1
2019,GB,16,314.8,19.7,61%,304,236,1084,4.6,56,16,3,68,49,72%,474,9.7,67,3
2020,GB,14,258.9,18.5,52%,264,201,1104,5.5,77,9,2,63,47,75%,355,7.6,30,2
2021,GB,15,229,15.3,52%,236,171,799,4.7,57,4,2,65,52,80%,391,7.5,26,6
2022,GB,17,248.6,14.6,58%,285,213,1121,5.3,36,2,5,72,59,82%,395,6.7,30,5
2018,TB,9,20.7,2.3,10%,32,23,44,1.9,9,1,0,9,7,78%,33,4.7,15,0
2019,TB,16,166.3,10.4,36%,212,172,724,4.2,49,6,3,40,31,78%,309,10,41,0
2020,TB,14,186.3,13.3,42%,234,192,978,5.1,98,7,2,42,28,67%,165,5.9,37,1
2021,TB,16,79.2,5,19%,114,101,428,4.2,30,4,2,13,10,77%,64,6.4,15,0
2022,KC,6,16.2,2.7,3%,18,17,70,4.1,13,1,0,1,1,100%,22,22,22,0
2020,NO,1,1.3,1.3,8%,3,3,13,4.3,6,0,0,0,0,0%,0,0,0,0
2021,NO,11,22.1,2,18%,62,54,142,2.6,11,0,0,8,5,63%,29,5.8,19,0
2022,SEA,6,10.4,1.7,8%,18,10,24,2.4,7,0,0,8,5,63%,30,6,9,0
2017,NO,16,314.4,19.6,45%,220,120,728,6.1,74,8,1,100,81,81%,826,10.2,40,5
2018,NO,15,354.2,23.6,62%,299,194,883,4.6,49,14,1,105,81,77%,709,8.8,42,4
2019,NO,14,248.5,17.8,59%,268,171,797,4.7,40,5,4,97,81,84%,533,6.6,41,1
2020,NO,15,377.8,25.2,61%,294,187,932,5,49,16,1,107,83,78%,756,9.1,52,5
2021,NO,13,234.7,18.1,58%,307,240,898,3.7,30,4,0,67,47,70%,439,9.3,31,5
