SEASON,TEAM,GP,PTS,PPG,SNP%,TGT,REC,CTCH%,YDS,Y/C,LNG,TD,ATT,YDS,Y/A,LNG,TD,FUM
2022,PHI,17,254.6,15,92%,136,95,70%,1196,12.6,45,7,0,0,0,0,0,1
2021,CAR,6,16.1,2.7,7%,11,6,55%,104,17.3,63,0,1,-3,-3,0,0,0
2022,CAR,17,61.6,3.6,47%,41,22,54%,296,13.5,38,2,0,0,0,0,0,4
2018,NO,15,100.7,6.7,54%,44,28,64%,427,15.2,62,5,0,0,0,0,0,0
2019,NO,11,71.4,6.5,43%,25,18,72%,234,13,32,5,0,0,0,0,0,0
2020,NO,14,103.1,7.4,72%,50,34,68%,448,13.2,31,4,1,3,3,3,0,1
2021,NO,11,87.7,8,65%,50,32,64%,377,11.8,34,3,0,0,0,0,0,1
2022,NO,15,52.8,3.5,38%,27,19,70%,278,14.6,48,1,0,0,0,0,0,0
2018,HOU,7,20.1,2.9,22%,10,5,50%,91,18.2,35,1,0,0,0,0,0,0
2019,NYJ,13,48.7,3.7,38%,31,17,55%,225,13.2,37,0,3,52,17.3,20,1,1
2020,NYJ,7,2.3,0.3,8%,3,1,33%,13,13,13,0,0,0,0,0,0,0
2021,NYJ,2,0,0,15%,1,0,0%,0,0,0,0,0,0,0,0,0,0
2021,MIN,8,28.6,3.6,8%,6,5,83%,116,23.2,44,2,0,0,0,0,0,0
2022,KC,8,0.4,0.1,15%,4,1,25%,15,15,15,0,1,-1,-1,0,0,1
2017,PIT,14,191.7,13.7,69%,79,58,73%,917,15.8,97,7,0,0,0,0,0,0
2018,PIT,16,296.9,18.6,86%,166,111,67%,1426,12.8,97,7,1,13,13,13,0,1
2019,PIT,12,113.2,9.4,57%,71,42,59%,552,13.1,76,3,0,0,0,0,0,1
2020,PIT,16,234.1,14.6,84%,128,97,76%,831,8.6,31,9,0,0,0,0,0,3
2021,PIT,5,34.8,7,69%,28,15,54%,129,8.6,24,0,3,9,3,3,1,0
2022,KC,16,185.3,11.6,67%,101,78,77%,933,12,53,3,0,0,0,0,0,3
2015,NO,15,183.4,12.2,67%,101,69,68%,984,14.3,63,3,0,0,0,0,0,2
2016,NO,15,191.5,12.8,64%,104,72,69%,895,12.4,49,4,0,0,0,0,0,2
2017,NO,11,15.2,1.4,25%,16,8,50%,92,11.5,26,0,0,0,0,0,0,1
2018,BAL,16,134.4,8.4,69%,95,62,65%,651,10.5,28,1,1,13,13,13,0,0
2019,BAL,16,95.1,5.9,61%,45,31,69%,339,10.9,50,5,2,2,1,2,0,0
2020,BAL,13,94.2,7.2,52%,48,33,69%,432,13.1,34,3,0,0,0,0,0,1
2021,CAR,9,7.8,0.9,9%,8,4,50%,38,9.5,15,0,0,0,0,0,0,0
2022,SF,4,0,0,11%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2021,DET,17,227.3,13.4,74%,119,90,76%,912,10.1,37,5,7,61,8.7,26,1,0
2022,DET,16,267.6,16.7,73%,146,106,73%,1161,11,49,6,9,95,10.6,58,0,0
2018,GB,12,54.3,4.5,39%,36,21,58%,328,15.6,54,0,1,5,5,5,0,0
2020,GB,9,25.4,2.8,17%,13,7,54%,117,16.7,24,1,1,7,7,7,0,0
2021,GB,13,20.2,1.6,29%,17,9,53%,98,10.9,26,0,3,14,4.7,13,0,0
2022,CHI,16,64.7,4,54%,38,21,55%,323,15.4,56,1,6,54,9,41,0,1
2021,BUF,5,0,0,1%,0,0,0%,0,NaN,0,0,0,0,NaN,0,0,2
2021,IND,5,4.6,0.9,6%,3,2,67%,26,13,16,0,0,0,0,0,0,0
2022,IND,13,8.9,0.7,11%,9,3,33%,59,19.7,23,0,0,0,0,0,0,0
2018,DEN,16,136.3,8.5,76%,84,42,50%,704,16.8,42,4,1,-1,-1,0,0,0
2019,DEN,16,222.4,13.9,92%,125,72,58%,1112,15.4,70,6,3,17,5.7,9,0,2
2020,DEN,1,9.6,9.6,23%,6,3,50%,66,22,45,0,0,0,0,0,0,0
2021,DEN,17,150.2,8.8,85%,98,58,59%,776,13.4,55,2,0,0,0,0,0,0
2022,DEN,15,159.4,10.6,78%,109,64,59%,829,13,51,2,1,5,5,5,0,0
2020,SEA,16,40.9,2.6,33%,21,13,62%,159,12.2,23,2,0,0,0,0,0,0
2021,SEA,17,86.5,5.1,60%,40,25,63%,343,13.7,68,4,5,32,6.4,11,0,1
2022,DEN,4,11.4,2.9,36%,6,4,67%,74,18.5,52,0,0,0,0,0,0,1
2020,GB,15,18.5,1.2,16%,6,5,83%,66,13.2,26,1,1,9,9,9,0,0
2021,GB,10,1.4,0.1,4%,3,2,67%,14,7,7,0,0,0,0,0,0,1
2017,SF,15,96,6.4,45%,60,43,72%,430,10,33,2,0,0,0,0,0,1
2018,SF,14,55.5,4,32%,41,26,63%,215,8.3,23,1,0,0,0,0,0,1
2019,SF,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,SF,12,18.6,1.6,18%,21,10,48%,86,8.6,29,0,0,0,0,0,0,0
2021,CIN,4,6.1,1.5,13%,3,2,67%,41,20.5,26,0,0,0,0,0,0,0
2022,CIN,16,11.7,0.7,13%,10,6,60%,62,10.3,34,0,4,15,3.8,9,0,2
2014,MIN,16,27.7,1.7,15%,14,8,57%,137,17.1,44,1,0,0,0,0,0,0
2015,MIN,16,35.3,2.2,21%,18,12,67%,144,12,30,0,4,89,22.2,41,0,0
2016,MIN,16,195.2,12.2,75%,92,69,75%,967,14,71,5,2,15,7.5,11,0,2
2017,MIN,16,239.7,15,92%,143,91,64%,1276,14,65,4,1,11,11,11,0,3
2018,MIN,16,307.3,19.2,96%,155,113,73%,1373,12.2,68,9,5,30,6,15,0,1
2019,MIN,10,114.4,11.4,43%,48,30,63%,418,13.9,44,6,4,6,1.5,3,1,0
2020,MIN,15,254,16.9,86%,108,74,69%,925,12.5,51,14,3,15,5,8,0,0
2021,MIN,13,199.8,15.4,73%,95,67,71%,726,10.8,35,10,1,2,2,2,0,1
2022,MIN,17,180,10.6,89%,107,70,65%,716,10.2,36,6,1,4,4,4,0,0
2016,NO,15,255.7,17,75%,121,92,76%,1137,12.4,46,9,0,0,0,0,0,2
2017,NO,16,258.5,16.2,82%,149,104,70%,1245,12,43,5,0,0,0,0,0,0
2018,NO,16,315.5,19.7,88%,147,125,85%,1405,11.2,72,9,0,0,0,0,0,2
2019,NO,16,374.6,23.4,89%,185,149,81%,1725,11.6,49,9,1,-9,-9,0,0,1
2020,NO,7,83.9,12,39%,55,40,73%,438,11,24,0,1,1,1,1,0,0
2022,NO,3,51.1,17,25%,22,16,73%,171,10.7,21,3,0,0,0,0,0,0
2022,TB,5,10.8,2.2,16%,10,5,50%,32,6.4,13,0,2,26,13,17,0,1
2021,SEA,5,0,0,1%,0,0,0%,0,NaN,0,0,0,0,NaN,0,0,0
2022,NE,13,66.3,5.1,66%,45,22,49%,247,11.2,29,2,3,16,5.3,19,1,0
2022,DAL,8,3.2,0.4,8%,3,2,67%,12,6,8,0,0,0,NaN,0,0,0
2021,NYG,10,82.4,8.2,27%,57,39,68%,420,10.8,38,0,3,6,2,7,0,0
2022,KC,9,57.3,6.4,13%,20,16,80%,171,10.7,38,2,7,82,11.7,32,1,1
2022,GB,11,19.2,1.7,10%,10,5,50%,82,16.4,37,1,0,0,NaN,0,0,1
2021,ATL,2,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2022,LAR,6,3.3,0.5,16%,4,2,50%,13,6.5,8,0,0,0,0,0,0,0
2016,MIN,9,2.5,0.3,8%,3,1,33%,15,15,15,0,0,0,0,0,0,0
2017,MIN,16,40,2.5,45%,35,20,57%,200,10,25,0,0,0,0,0,0,1
2018,MIN,15,71.2,4.7,52%,53,35,66%,302,8.6,22,1,0,0,0,0,0,0
2019,MIN,13,33.4,2.6,21%,16,9,56%,184,20.4,58,1,0,0,0,0,0,0
2020,ATL,5,22.9,4.6,13%,7,6,86%,49,8.2,14,2,0,0,0,0,0,0
2021,JAX,12,82.4,6.9,66%,51,33,65%,434,13.2,41,1,0,0,0,0,0,0
2022,SEA,6,10.2,1.7,34%,10,6,60%,42,7,17,0,0,0,0,0,0,0
2022,LV,9,2.6,0.3,4%,1,0,0%,0,NaN,0,0,4,26,6.5,18,0,1
2018,SEA,6,4,0.7,8%,3,2,67%,20,10,19,0,0,0,0,0,0,0
2019,SEA,14,45.5,3.3,22%,22,15,68%,245,16.3,33,1,0,0,0,0,0,0
2020,DAL,6,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2021,DAL,14,44.9,3.2,13%,16,12,75%,149,12.4,61,3,0,0,0,0,0,0
2022,SF,3,0,0,1%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2022,DAL,17,-0.4,0,5%,2,1,50%,9,9,9,0,3,17,5.7,11,0,3
2018,GB,16,111,6.9,64%,72,38,53%,581,15.3,60,2,2,29,14.5,21,0,0
2019,GB,16,84.1,5.3,51%,56,26,46%,452,17.4,74,2,2,9,4.5,9,0,0
2020,GB,16,137.3,8.6,76%,63,33,52%,690,20.9,78,6,4,13,3.2,9,0,1
2021,GB,11,87,7.9,57%,55,26,47%,430,16.5,75,3,0,0,0,0,0,0
2022,KC,17,122.4,7.2,68%,81,42,52%,687,16.4,57,2,1,-3,-3,0,0,0
2022,DEN,9,13.5,1.5,7%,5,2,40%,75,37.5,66,1,0,0,NaN,0,0,1
2021,MIA,16,245.8,15.4,78%,141,104,74%,1015,9.8,57,6,2,3,1.5,2,1,2
2022,MIA,17,259.2,15.2,74%,117,75,64%,1356,18.1,84,8,3,26,8.7,9,0,1
2021,BAL,17,4.3,0.3,7%,6,2,33%,23,11.5,18,0,0,0,0,0,0,0
2022,BAL,9,7.3,0.8,10%,7,4,57%,33,8.2,12,0,0,0,0,0,0,0
2019,PHI,6,59.9,10,59%,40,28,70%,254,9.1,38,1,1,5,5,5,0,0
2020,PHI,16,133.1,8.3,70%,79,53,67%,419,7.9,32,6,2,-4,-2,2,0,2
2021,PHI,17,34.6,2,22%,11,7,64%,95,13.6,27,3,0,0,0,0,0,0
2018,PIT,14,43.7,3.1,47%,38,16,42%,217,13.6,47,1,0,0,0,0,0,0
2019,PIT,15,133.5,8.9,64%,80,44,55%,735,16.7,79,3,0,0,0,0,0,1
2020,PIT,16,99.2,6.2,44%,56,30,54%,392,13.1,50,5,0,0,0,0,0,0
2021,PIT,15,65.8,4.4,41%,44,24,55%,285,11.9,42,2,2,13,6.5,12,0,0
2022,DAL,2,0,0,5%,1,0,0%,0,0,0,0,0,0,0,0,0,0
2022,DEN,15,5.2,0.3,7%,9,4,44%,2,0.5,4,0,5,30,6,19,0,5
2020,PHI,6,23.6,3.9,13%,13,7,54%,106,15.1,43,1,0,0,0,0,0,0
2021,PHI,17,116,6.8,69%,62,43,69%,647,15,91,1,1,3,3,3,0,0
2022,PHI,17,84.5,5,58%,50,33,66%,354,10.7,53,3,3,1,0.3,4,0,1
2022,GB,14,164.1,11.7,46%,66,41,62%,611,14.9,63,7,7,80,11.4,46,2,0
2018,TB,12,1.5,0.1,8%,3,1,33%,5,5,5,0,0,0,0,0,0,0
2019,TB,16,42.9,2.7,20%,26,15,58%,159,10.6,17,2,0,0,0,0,0,0
2020,TB,11,16.4,1.5,15%,11,7,64%,94,13.4,36,0,0,0,0,0,0,0
2021,TB,1,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2022,KC,17,58.5,3.4,43%,34,15,44%,315,21,67,2,0,0,0,0,0,0
2022,NE,12,0,0,0%,0,0,0%,0,NaN,0,0,0,0,NaN,0,0,0
2019,LAR,4,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,1
2020,LAR,16,-2,0,1%,0,0,0%,0,0,0,0,0,0,0,0,0,3
2021,CHI,6,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,1
2022,CHI,2,3.4,1.7,8%,3,2,67%,14,7,8,0,0,0,0,0,0,1
2020,TEN,13,8.3,0.6,15%,8,3,38%,33,11,19,0,0,0,0,0,0,0
2021,TEN,16,107.6,6.7,56%,57,38,67%,476,12.5,46,4,0,0,0,0,0,1
2022,TEN,17,82.7,4.9,75%,50,25,50%,397,15.9,63,3,0,0,0,0,0,0
2021,PIT,15,8.3,0.6,7%,6,5,83%,33,6.6,11,0,0,0,0,0,0,0
2022,PIT,1,1.2,1.2,14%,1,1,100%,2,2,2,0,0,0,0,0,0,0
2020,NE,1,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2021,NE,3,20.2,6.7,34%,8,4,50%,42,10.5,20,2,0,0,0,0,0,0
2022,DET,6,15.1,2.5,19%,9,1,11%,41,41,41,1,1,40,40,40,0,0
2017,LAC,10,20.5,2,22%,23,11,48%,95,8.6,20,0,0,0,0,0,0,0
2018,LAC,16,180.2,11.3,62%,66,43,65%,664,15.4,55,10,7,28,4,19,1,0
2019,LAC,15,161.3,10.8,79%,90,49,54%,1001,20.4,56,2,1,2,2,2,0,0
2020,LAC,15,153.7,10.2,68%,85,48,56%,756,15.8,64,5,1,1,1,1,0,0
2021,LAC,16,246.6,15.4,75%,129,76,59%,1146,15.1,72,9,0,0,0,0,0,0
2022,LAC,13,176.5,13.6,59%,93,63,68%,895,14.2,55,4,0,0,0,0,0,0
2013,WAS,5,6.5,1.3,11%,11,3,27%,15,5,6,0,0,0,0,0,0,1
2015,ATL,14,44.9,3.2,18%,25,17,68%,159,9.4,29,2,0,0,0,0,0,0
2016,ATL,2,10.9,5.5,5%,7,5,71%,59,11.8,19,0,0,0,0,0,0,0
2017,ATL,1,6,6,3%,4,3,75%,30,10,14,0,0,0,0,0,0,0
2018,LAR,4,3.7,0.9,8%,4,2,50%,17,8.5,11,0,0,0,0,0,0,0
2019,SF,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,DEN,2,4.4,2.2,26%,1,1,100%,34,34,34,0,0,0,NaN,0,0,0
2019,DAL,6,9.6,1.6,7%,8,5,63%,46,9.2,14,0,0,0,0,0,0,0
2020,DAL,16,51.6,3.2,20%,28,17,61%,189,11.1,42,2,3,-12,-4,0,0,0
2021,DAL,16,147.8,9.2,43%,61,45,74%,602,13.4,73,6,2,11,5.5,6,0,3
2022,MIA,15,26.4,1.8,22%,18,12,67%,136,11.3,21,0,1,8,8,8,0,0
2022,NYJ,17,215.7,12.7,79%,147,83,56%,1103,13.3,60,4,4,4,1,7,0,2
2018,CHI,4,7.2,1.8,4%,5,4,80%,32,8,16,0,0,0,0,0,0,0
2019,CHI,16,42.6,2.7,45%,39,18,46%,186,10.3,37,1,0,0,0,0,0,0
2020,CHI,13,17,1.3,31%,12,6,50%,48,8,13,1,1,2,2,2,0,0
2022,ARI,1,0,0,7%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2019,DEN,3,0,0,1%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2020,GB,2,0,0,6%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2021,GB,7,11.8,1.7,31%,13,8,62%,58,7.2,12,0,0,0,0,0,0,2
2022,GB,3,2.7,0.9,18%,4,1,25%,17,17,17,0,0,0,0,0,0,0
2021,NO,3,1.5,0.5,8%,1,1,100%,5,5,5,0,0,0,NaN,0,0,0
2022,CLE,11,9,0.8,13%,10,5,50%,45,9,15,0,1,-5,-5,0,0,0
2013,BUF,14,120.3,8.6,78%,85,40,47%,587,14.7,57,3,2,16,8,13,0,0
2014,BUF,16,164.9,10.3,85%,104,65,63%,699,10.8,37,5,0,0,0,0,0,1
2015,BUF,14,118.2,8.4,83%,80,47,59%,552,11.7,37,3,1,0,0,0,0,2
2016,BUF,13,118.9,9.1,59%,76,51,67%,613,12,34,1,1,6,6,6,0,0
2017,LAR,12,163.3,13.6,63%,85,56,66%,781,13.9,94,5,2,12,6,8,0,1
2018,LAR,16,265.6,16.6,95%,130,86,66%,1219,14.2,39,6,19,157,8.3,56,1,0
2019,LAR,15,232.9,15.5,89%,139,90,65%,1134,12.6,48,2,17,115,6.8,20,1,0
2020,LAR,16,245.1,15.3,89%,129,90,70%,936,10.4,56,6,24,155,6.5,40,2,2
2021,LAR,9,137.2,15.2,85%,69,45,65%,556,12.4,28,4,8,46,5.8,16,1,0
2022,TEN,17,115.7,6.8,78%,91,53,58%,527,9.9,41,2,0,0,0,0,0,1
2022,CAR,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,SEA,13,4.4,0.3,10%,2,2,100%,24,12,12,0,0,0,NaN,0,0,0
2019,ATL,10,20.5,2,7%,5,3,60%,115,38.3,93,1,0,0,0,0,0,0
2020,ATL,11,53.4,4.9,39%,32,20,63%,274,13.7,51,1,1,0,0,0,0,0
2021,ATL,17,89.8,5.3,58%,53,31,58%,406,13.1,49,3,1,2,2,2,0,0
2022,ATL,17,110,6.5,70%,61,40,66%,533,13.3,45,3,2,7,3.5,13,0,1
