SEASON,TEAM,GP,PTS,PPG,SNP%,TGT,REC,CTCH%,YDS,Y/C,LNG,TD,ATT,YDS,Y/A,LNG,TD,FUM
2022,LAC,16,169.3,10.6,75%,107,72,67%,769,10.7,50,3,1,4,4,4,0,1
2015,MIA,15,97.9,6.5,46%,51,27,53%,529,19.6,49,3,0,0,0,0,0,0
2016,MIA,15,154.4,10.3,78%,88,56,64%,744,13.3,56,4,0,0,0,0,0,0
2017,MIA,13,130,10,65%,96,57,59%,670,11.8,36,1,0,0,0,0,0,1
2018,MIA,11,60.9,5.5,60%,47,24,51%,309,12.9,46,1,0,0,0,0,0,0
2019,MIA,16,246.2,15.4,84%,128,72,56%,1202,16.7,51,9,0,0,0,0,0,0
2020,MIA,14,166.3,11.9,68%,103,63,61%,793,12.6,31,4,0,0,0,0,0,1
2021,MIA,10,103.5,10.3,62%,73,40,55%,515,12.9,42,2,0,0,0,0,0,0
2022,NE,13,102.9,7.9,52%,47,31,66%,539,17.4,43,3,0,0,0,0,0,0
2018,IND,16,66.8,4.2,46%,46,27,59%,268,9.9,28,2,2,10,5,8,0,0
2019,IND,16,135.3,8.5,74%,72,41,57%,607,14.8,37,5,2,16,8,12,0,0
2020,IND,16,136.9,8.6,76%,71,44,62%,629,14.3,42,5,0,0,0,0,0,0
2021,IND,16,94.5,5.9,78%,69,38,55%,384,10.1,41,3,2,21,10.5,12,0,1
2022,PHI,17,36,2.1,29%,19,15,79%,150,10,34,1,1,0,0,0,0,0
2020,IND,1,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2021,IND,8,10.1,1.3,11%,4,2,50%,21,10.5,14,1,0,0,0,0,0,0
2022,IND,1,4.4,4.4,7%,6,2,33%,24,12,17,0,0,0,0,0,0,0
2018,DEN,16,60.2,3.8,37%,41,23,56%,315,13.7,26,1,3,17,5.7,13,0,2
2019,DEN,8,37.8,4.7,58%,31,16,52%,218,13.6,38,0,0,0,0,0,0,0
2020,DEN,15,161.2,10.7,70%,79,51,65%,742,14.5,61,6,0,0,0,0,0,0
2021,DEN,16,156.4,9.8,79%,85,53,62%,734,13.8,44,5,0,0,0,0,0,0
2020,CLE,12,58.4,4.9,25%,20,14,70%,304,21.7,75,2,0,0,0,0,0,0
2021,CLE,14,109.7,7.8,63%,58,34,59%,597,17.6,60,3,0,0,0,0,0,2
2022,CLE,17,161.1,9.5,90%,96,61,64%,839,13.8,42,3,1,2,2,2,0,1
2015,BAL,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016,BAL,16,101.1,6.3,43%,66,33,50%,499,15.1,53,3,1,2,2,2,0,0
2017,BAL,11,17.7,1.6,36%,35,10,29%,77,7.7,14,0,0,0,0,0,0,0
2018,CLE,10,62.2,6.2,35%,25,16,64%,340,21.2,66,2,4,2,0.5,7,0,0
2019,TB,14,138.1,9.9,56%,70,36,51%,645,17.9,44,6,2,16,8,13,0,0
2020,NYJ,12,99.1,8.3,66%,60,30,50%,505,16.8,53,3,1,6,6,6,0,0
2021,TB,6,33.4,5.6,15%,18,11,61%,167,15.2,58,1,1,-3,-3,0,0,0
2022,TB,11,23.3,2.1,19%,19,9,47%,110,12.2,28,1,2,-7,-3.5,0,0,2
2018,SF,12,103.5,8.6,54%,45,27,60%,467,17.3,75,5,1,-2,-2,0,0,2
2019,SF,11,34.5,3.1,29%,24,11,46%,109,9.9,21,2,0,0,0,0,0,0
2020,NYG,7,15.6,2.2,11%,6,4,67%,76,19,33,1,0,0,0,0,0,1
2021,NYG,3,25.3,8.4,40%,16,10,63%,87,8.7,27,1,0,0,0,0,0,1
2022,CHI,17,65.2,3.8,51%,41,19,46%,245,12.9,51,3,2,37,18.5,29,0,1
2022,TEN,4,11.8,3,18%,13,8,62%,78,9.8,21,0,0,0,NaN,0,0,2
2022,PIT,17,166.5,9.8,76%,84,52,62%,801,15.4,42,4,3,24,8,22,1,0
2022,IND,16,112.3,7,63%,78,41,53%,593,14.5,47,2,0,0,NaN,0,0,1
2020,IND,13,98.9,7.6,78%,61,40,66%,503,12.6,45,1,3,26,8.7,21,0,0
2021,IND,17,238.6,14,88%,129,88,68%,1082,12.3,57,6,5,44,8.8,25,0,1
2022,IND,16,216.5,13.5,93%,141,99,70%,925,9.3,28,4,3,30,10,19,0,2
2018,DET,6,24.3,4,15%,17,11,65%,129,11.7,41,0,1,4,4,4,0,0
2019,ATL,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,ATL,15,29.6,2,16%,18,12,67%,69,5.8,13,2,2,7,3.5,4,0,2
2021,LAR,6,0,0,1%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2022,LAR,17,47.6,2.8,28%,32,24,75%,156,6.5,16,0,17,80,4.7,20,0,1
2022,KC,3,0,0,2%,0,0,0%,0,NaN,0,0,0,0,NaN,0,0,0
2019,KC,16,35,2.2,14%,16,12,75%,170,14.2,28,1,0,0,0,0,0,0
2020,KC,13,35,2.7,27%,17,13,76%,160,12.3,37,1,0,0,0,0,0,0
2021,KC,17,126.8,7.5,49%,60,42,70%,568,13.5,40,5,0,0,0,0,0,2
2022,CHI,11,35.5,3.2,46%,16,10,63%,135,13.5,35,2,0,0,0,0,0,0
2020,BAL,14,2.4,0.2,3%,3,1,33%,14,14,14,0,0,0,0,0,0,0
2021,BAL,14,36.2,2.6,17%,20,16,80%,202,12.6,32,0,0,0,0,0,0,0
2022,BAL,15,12.2,0.8,18%,17,8,47%,62,7.8,12,0,0,0,0,0,0,0
